wallet_age_days,avg_tx,recent_tx,tx_frequency,wallet,token,tx_per_min,tx_per_hour,tx_per_day,avg_time_between_tx_sec
1,33.696666666666665,100.08,3.0,0x742d35Cc6634C0532925a3b844Bc454e4438f44e,usdt,,,,
0,43496.58575714,10.0,50.0,0x28C6c06298d514Db089934071355E5743bf21d60,usdt,,,,
0,0.01,0.01,1.0,0x77300C71071eCa35Cb673a0b7571B2907dEB77C7,usdt,,,,
