wallet,dust_tx_ratio,similarity_hits,new_sender_ratio,is_poisoned_pattern,label
0x3D0f22BF11636CC9cb129e2B261EEd35a487455C,0,0,0,0,-1
0x1a6182dc00b4282158934c99403d2b308d15d459,0,0,0,0,-1
