wallet,token,wallet_age_days,avg_tx,recent_tx,tx_frequency,tx_per_min,tx_per_hour,tx_per_day,avg_time_between_tx_sec,is_high_freq,is_low_value,is_new_wallet,risk_score_rule,label
0x0823703229866cbb378eb22c2a16e442cf0a806f,usdc,266,9.931879176948813,0.0,0.150375939849624,0.0001043695894152,0.0062621753649152,0.1502922087579653,574880.1,False,False,False,0.0,0
0x0824e4a3e776388482a0528ccf56eb0edfd29ab8,usdc,123,7.241640285178661,0.0,0.7154471544715447,0.0004954681554734,0.0297280893284041,0.7134741438817003,121097.59090909093,False,False,False,0.0,0
0x0825b0797c327961d302fed445801388008f6ef7,usdc,8,0.0009995003330835331,0.0009995003330835331,81.5,0.0554318069748856,3.32590841849314,79.82180204383535,1082.411042944785,False,True,False,0.3,1
0x082b67be2aba84477ad16a71e511e94eccf7e5e0,usdc,693,8.992370097162008,9.260487155616394,0.0952380952380952,6.611163610873321e-05,0.0039666981665239,0.0952007559965758,907555.8181818182,False,False,False,0.0,0
0x082e34bd8810e8561f67cb7f8bf22fcd55ae300f,usdc,1511,7.682144612977479,6.940222469119639,0.0125744540039708,8.727107104317616e-06,0.000523626426259,0.0125670342302173,6875130.47368421,False,False,False,0.0,0
0x0834df23ea5648c93edd3d8e873ba431d179292c,usdc,13,0.0009995003330835331,0.0009995003330835331,0.4615384615384615,0.0003163422401248,0.0189805344074909,0.4555328257797836,189668.0,False,True,False,0.3,1
0x08364bdb63045c391d33cb83d6aed7582b94701d,usdc,688,8.685394994168183,7.908211141961667,0.0348837209302325,2.4195294741031716e-05,0.0014517176844619,0.0348412244270856,2479821.0,False,False,False,0.0,0
0x083e87f63996cfa13f8a21ddd28bacc5d7a29b31,usdc,1103,7.720356751205157,5.084505142662711,0.0099728014505893,6.923470568373819e-06,0.0004154082341024,0.0099697976184583,8666173.909090908,False,False,False,0.0,0
0x083fc10ce7e97cafbae0fe332a9c4384c5f54e45,usdc,2651,10.153378653795313,8.515391569469609,0.3161071293851377,0.0002194835829793,0.0131690149787636,0.3160563594903272,273368.9653937948,False,False,False,0.0,0
0x084168f28b4302e4d10eca680f6c0cac7116255b,usdc,1126,9.597319997016736,0.0009995003330835331,0.0657193605683836,4.5601894475244205e-05,0.0027361136685146,0.0656667280443516,1315734.810810811,False,False,False,0.0,0
0x084494a6747076ad08aece738cd7fceb348adb69,usdc,393,7.996718201229407,8.340335593494219,0.0305343511450381,2.1198492080596667e-05,0.0012719095248358,0.0305258285960592,2830390.0,False,False,False,0.0,0
0x0851dae86b9504adb9aca6bb7031e178d0236faf,usdc,1440,5.01718085840679,5.0443517842046575,0.0159722222222222,1.1085176350335335e-05,0.0006651105810201,0.0159626539444828,5412633.782608695,False,False,False,0.0,0
0x0852e46539c056ca1a01bfb9d7feef0bf1b245bd,usdc,814,10.279017144703385,8.427945235365467,0.1105651105651105,7.67525026859112e-05,0.0046051501611546,0.1105236038677121,781733.4666666667,False,False,False,0.0,0
0x085b26290cb71d713962ba436a5366f132b337d8,usdc,791,7.227767754626967,8.006729864346205,0.0189633375474083,1.315290317162969e-05,0.0007891741902977,0.0189401805671467,4561730.533333333,False,False,False,0.0,0
0x085bbcfa81ea793137b419f76833b0f5572814a0,usdc,11,0.0010864096432731112,0.0006827668616496224,11.909090909090908,0.0079769095869056,0.4786145752143414,11.486749805144196,7521.709923664122,False,True,False,0.3,1
0x08607c40e0fb089d370e818a182ea0831afb666c,usdc,773,9.09263021916378,7.861786079935402,0.0543337645536869,3.77182743063295e-05,0.0022630964583797,0.0543143150011144,1590740.857142857,False,False,False,0.0,0
0x0869fd08ff42889e11e09a0c2b46ce3d163a25d5,usdc,1271,7.612680275961472,7.561049824728359,0.071597167584579,4.968472629726206e-05,0.0029810835778357,0.0715460058680573,1207614.5824175824,False,False,False,0.0,0
0x086c7607ff07d68173be8bce8da5f8879babbf0b,usdc,242,9.065027259572496,7.185617345870541,0.0495867768595041,3.4307082697222844e-05,0.0020584249618333,0.0494021990840008,1748910.0,False,False,False,0.0,0
0x08852c6d265dc04ce5742f1fa0072e31c4feea8e,usdc,2021,8.56979408571228,7.5485559791698735,0.0336467095497278,2.3355191999427112e-05,0.0014013115199656,0.033631476479175,2569021.911764706,False,False,False,0.0,0
0x088802c9b1396b104fe6b48d4cda45e0660e68f9,usdc,223,11.413955713264635,10.968387926718702,0.1031390134529148,7.161383330167794e-05,0.0042968299981006,0.1031239199544162,837826.9565217391,False,False,False,0.0,0
0x088910477023ffdf0a6f40a2d1b070d1f28f06a0,usdc,2,0.0009995003330835331,0.0009995003330835331,5.0,0.0024513408834632,0.1470804530077952,3.5299308721870863,24476.4,False,True,True,0.5,1
0x088d57317c7ca5ec0974f58b6d1dc8ba7cc59a00,usdc,250,7.993064722191411,8.517393171418904,0.412,0.0002857612123821,0.0171456727429303,0.4114961458303278,209965.5145631068,False,False,False,0.0,0
0x088e2e8317ed18fd3571b3aa1fb33c236f48aed0,usdc,2,0.0009995003330835331,0.0009995003330835331,5.0,0.0024588148512417,0.1475288910745021,3.54069338578805,24402.0,False,True,True,0.5,1
0x088eee426b2fd54c28a3d5d45d37310e5cb6dbd3,usdc,168,7.337627548862163,0.00023897144404982413,0.3928571428571428,0.0002714168452808,0.016285010716853,0.3908402572044723,221062.18181818185,False,False,False,0.0,0
0x08923276d4c80282b56bf41d9204914075d48c72,usdc,239,4.72912432780643,5.520510466326251,0.7698744769874477,0.0005344636076758,0.0320678164605496,0.7696275950531908,112262.08695652174,False,False,False,0.0,0
0x089563d1f7e3d20791d3f4224bae908952332c21,usdc,1178,13.250066252917902,8.517393171418904,0.1910016977928692,0.0001325502226902,0.0079530133614159,0.1908723206739819,452658.6133333333,False,False,False,0.0,0
0x08986b3dcda3aabf8dede3d432b1fa00d261c856,usdc,239,9.523193805643825,0.0009995003330835331,0.5062761506276151,0.0003506567424046,0.0210394045442795,0.504945709062709,171107.5041322314,False,False,False,0.0,0
0x089e594b9807eba72f37ad9573baa32622bf87cc,usdc,690,8.900421807372606,5.2147060844970055,0.0260869565217391,1.811458562281568e-05,0.0010868751373689,0.0260850032968545,3312248.0,False,False,False,0.0,0
0x08a6005e4d3068c737f7d613d43933c54a5df6da,usdc,450,8.67570297686524,4.927861152785291,0.1133333333333333,7.857616295032229e-05,0.0047145697770193,0.1131496746484641,763590.3529411765,False,False,False,0.0,0
