wallet,token,wallet_age_days,avg_tx,recent_tx,tx_frequency,tx_per_min,tx_per_hour,tx_per_day,avg_time_between_tx_sec,is_high_freq,is_low_value,is_new_wallet,risk_score_rule,label,notes
0x3d90f66b534dd8482b181e24655a9e8265316be9,USDT,1,330392367553412.25,0.0450056860352932,10000.0,5.643977875606728,338.63867253640365,8127.328140873687,10.6308,True,False,True,0.7,0.0, its a contract
0xdc4858741e738bb304fc5b290e7b9453da6a5baa,USDT,1,0.001,0.001,10000.0,76.68711656441718,4601.226993865031,110429.44785276074,0.7824,True,True,True,1.0,1.0, delegated to scam
0x2fd6427fe30c7bfbdb6f4c28191f43d4e7f689b9,USDT,211,3245.9568005900987,0.0001,0.3364928909952606,0.0002334145791403,0.0140048747484218,0.3361169939621237,257053.35211267605,False,False,False,0.0,0.0, safe
0x3307bd9274d8db4cbcd248e7f8362f5ce610911a,USDC,11,367.7568320107978,893.684997,909.0909090909092,0.6139112284363681,36.83467370618209,884.0321689483701,97.734,True,False,False,0.4,,
0x435664008f38b0650fbc1c9fc971d0a3bc2f1e47,USDT,93,1223.0477305865563,3.7561965265515664,107.52688172043013,0.0739525727360529,4.437154364163175,106.4917047399162,811.3308,True,False,False,0.4,0.0, allow 
0x1a6182dc00b4282158934c99403d2b308d15d459,USDT,4,0.0361977188059999,1.0,2500.0,1.6095802214782384,96.57481328869432,2317.795518928663,37.2768,True,True,True,1.0,1.0,
0x51c72848c68a965f66fa7a88855f9f7784502a7f,USDT,1,36158939.19521999,22549.00277963232,10000.0,41.42502071251035,2485.5012427506213,59652.029826014914,1.4484,True,False,True,0.7,,
0x0740b977480ae2db9d6fcc26f992ffcc70a0f45e,USDT,21,2617.57271883134,1.0,0.9047619047619048,0.0006004639374,0.0360278362440032,0.8646680698560784,99922.73684210528,False,False,False,0.0,,
0x8a4ed692f221dd609608ab73e2d83f702e53c6b2,USDC,84,1318.71731888479,1.0,11.238095238095235,0.0077451453363395,0.4647087201803699,11.15300928432888,7746.78813559322,False,False,False,0.0,,
0xdb98b4b12301608e6f840b44832bddf3d0c46a5f,USDT,593,1062.9627618695652,5.0,0.0775716694772344,5.386024577601023e-05,0.0032316147465606,0.0775587539174547,1113994.1739130437,False,False,False,0.0,,
