wallet,token,wallet_age_days,avg_tx,recent_tx,tx_frequency,tx_per_min,tx_per_hour,tx_per_day,avg_time_between_tx_sec,label
0x14d2595fecbdd884035900c85ce56afbbec6c745,usdt,9,45087.0,45087.0,1.8888888888888888,0.0012186205215695832,0.073117231294175,1.7548135510601999,49236.0,0
0xa0fc0ea0f2a94ab79132c913cc6c10382c648451,usdt,1888,70.53763733333334,2.0,0.0015889830508474577,1.1029684060031114e-06,6.617810436018669e-05,0.0015882745046444805,54398657.0,0
0x5dfbf96e481a964031ddd3dd3b4c2ae02a2d7a1d,usdt,67,152.67201134736843,15.0,1.4179104477611941,0.0009813137208317408,0.05887882324990445,1.413091757997707,61142.52631578947,0
0xae0cf166cff6669ef8019747b30fda9caa413f3a,usdt,33,15.040500909090907,2.227792,0.3333333333333333,0.00022571047501795423,0.013542628501077255,0.3250230840258541,265827.2727272727,0
0x9bf81cc31d0f1fa7ade83058509a4db154a182a2,usdt,67,5840.1392497095885,800.0,49.02985074626866,0.03381062754994915,2.028637652996949,48.68730367192678,1774.5899543378996,0
0xb1e4e25b1938c78ec0b21ccb2d6a0be60aa7e63f,usdt,41,13.444493356989247,8.6,45.36585365853659,0.031200829338173374,1.8720497602904025,44.92919424696966,1923.0258064516129,0
0x362a8e052cc80d018542c04ba7addd6dca4c2b69,usdt,50,1323.6156178461538,474.120933,0.78,0.0005348326933625892,0.03208996160175535,0.7701590784421284,112184.61538461539,0
0x139d602458a7aaf3243bc9ac9d09cc9b18da5fcd,usdt,753,2045.9164144444444,3000.0,0.02390438247011952,1.6588877121026182e-05,0.0009953326272615708,0.0238879830542777,3616881.3333333335,0
0x3eb210eaa4026f62d027fafaba1fa5592febb06a,usdt,1563,1335.5354454963503,51.30122,0.17530390275111965,0.00012166322599264667,0.0072997935595588,0.1751950454294112,493164.6313868613,0
0x072ab8b22c7c7b4dd2b3367c6e7445d6c9e3cb2f,usdt,333,10019.350342714284,27016.539087,0.35735735735735735,0.0002480346898399155,0.014882081390394928,0.3571699533694783,241901.64705882352,0
0x0187fc00e5e43fb3ebffcbee8708abcfb50ee1c3,usdt,26,271.49860671111105,3584.0,1.7307692307692308,0.0011615840909442905,0.06969504545665743,1.6726810909597782,51653.6,0
0x8ca5a807547afde55bb49990728488394f0f53d5,usdt,526,923.7751442787329,1698.032539,14.70532319391635,0.010195847265021641,0.6117508359012984,14.682020061631162,5884.74880413704,0
0xd9a30a7ade2d83485128873622ff749d0b9c1827,usdt,415,132.31968147619048,70.0,0.10120481927710843,7.020584353323946e-05,0.004212350611994368,0.10109641468786482,854629.7142857143,0
0x61b7b515c1ec603cf21463bcac992b60fd610ca9,usdt,454,3821.2182719847124,8862.910001,8.3568281938326,0.005799506445798308,0.3479703867478985,8.351289281949564,10345.707959936743,0
0x8b2fd57cd31bb0844a6727777f3c9fec5177e044,usdt,36,14.673099999999998,18.5962,0.1111111111111111,7.715067140371789e-05,0.004629040284223073,0.11109696682135375,777699.0,0
0xbe24e013bfcaef3b27f27ac1c13a613a145112a1,usdt,69,18787.89748394457,19.9,12.81159420289855,0.008788377073072772,0.5273026243843663,12.65526298522479,6827.1990950226245,0
0x6111215935c04dc08a66d6ec9b86e83e3717c00f,usdt,48,1901.1908215855856,1.116609,6.9375,0.004738931819152115,0.28433590914912693,6.824061819579047,12661.081081081082,0
0x941d975ae56804b62fc96a4afd11cdba78ce477d,usdt,59,1516.6666666666667,1650.0,0.1016949152542373,6.993871037680646e-05,0.004196322622608387,0.10071174294260131,857894.0,0
